IATA_CODE,SPEED
UA,128.7475204635735
UA,666.3745289927814
UA,725.5584564442506
UA,783.2771943497111
UA,1105.8492382674794
AA,128.0906453591675
AA,631.5854128863566
AA,701.7180781430725
AA,757.6296396510286
AA,1266.1903323010313
US,151.96428644880805
US,598.1202254629682
US,667.0453430914454
US,731.1019912038637
US,1126.6695515767315
F9,199.76301786213185
F9,663.2448023881059
F9,708.7875575100721
F9,755.8064667213871
F9,1267.952015057242
B6,159.76396857525256
B6,614.3254532464476
B6,697.454895484257
B6,749.8537226999533
B6,1051.9711998126145
NK,230.96261272350512
NK,655.0030103584301
NK,709.6738324581926
NK,756.7659487713534
NK,1227.3365602086708
DL,155.893082007098
DL,615.2292227866475
DL,681.2154764254144
DL,740.2982426655475
DL,1014.394937547208
EV,52.05222018742131
EV,520.1399826728369
EV,595.1288445918243
EV,659.8310423758141
EV,1201.6435243266858
HA,123.79569275343604
HA,447.69024161197143
HA,524.6461458890619
HA,595.9170947171115
HA,1013.4973662298845
MQ,90.92793632739877
MQ,510.39195612345196
MQ,586.5164821118348
MQ,654.9330388799173
MQ,1008.8922077705888
VX,96.05242645111338
VX,618.534667887498
VX,707.0049385456703
VX,778.8054556041982
VX,1002.8754225583618
